epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4002,1.20966,1.26615,1.12009,0.82662,0.75264,0.84106,0.53344,1.25757,1.12361,1.12153,0.000657778,0.000657778,0.000657778
2,106.92,1.24043,0.91421,1.11327,0.76655,0.73029,0.78445,0.49486,1.27164,1.24485,1.17766,0.00129822,0.00129822,0.00129822
3,154.248,1.31406,0.93065,1.14108,0.7988,0.73809,0.82029,0.52075,1.25657,1.0394,1.17178,0.00191226,0.00191226,0.00191226
4,198.565,1.25153,0.88805,1.12319,0.82881,0.76632,0.85069,0.53582,1.27955,0.9443,1.16866,0.0018812,0.0018812,0.0018812
5,266.335,1.23878,0.88528,1.12171,0.84585,0.78895,0.87551,0.57487,1.22832,0.87823,1.12206,0.0018416,0.0018416,0.0018416
6,312.878,1.21854,0.8498,1.09906,0.83864,0.79112,0.87711,0.53522,1.33493,0.99783,1.17461,0.001802,0.001802,0.001802
7,361.889,1.19686,0.82096,1.08851,0.86352,0.81595,0.90166,0.5897,1.19145,0.89931,1.10973,0.0017624,0.0017624,0.0017624
8,410.33,1.15597,0.79943,1.08035,0.89654,0.80261,0.90503,0.60992,1.1468,0.78409,1.0787,0.0017228,0.0017228,0.0017228
9,466.102,1.16271,0.80386,1.0771,0.87556,0.80146,0.89758,0.62089,1.12159,0.78411,1.0728,0.0016832,0.0016832,0.0016832
10,513.765,1.14268,0.76837,1.06408,0.88364,0.83737,0.91351,0.62719,1.11931,0.7536,1.06929,0.0016436,0.0016436,0.0016436
11,561.111,1.12518,0.75663,1.05553,0.86686,0.83302,0.91099,0.63709,1.0909,0.74272,1.06572,0.001604,0.001604,0.001604
12,608.926,1.09041,0.72624,1.04459,0.88294,0.84274,0.9203,0.63795,1.092,0.74012,1.07018,0.0015644,0.0015644,0.0015644
13,670.23,1.08373,0.71812,1.04079,0.90167,0.83954,0.92693,0.6597,1.05192,0.68167,1.04542,0.0015248,0.0015248,0.0015248
14,737.073,1.07848,0.72203,1.0389,0.901,0.85025,0.92789,0.66557,1.03242,0.73127,1.03888,0.0014852,0.0014852,0.0014852
15,784.846,1.04454,0.70176,1.03234,0.89294,0.85599,0.92599,0.65229,1.07269,0.69231,1.05649,0.0014456,0.0014456,0.0014456
16,831.677,1.0573,0.69336,1.02718,0.89188,0.85514,0.92616,0.66418,1.03399,0.68426,1.03823,0.001406,0.001406,0.001406
17,907.332,1.03993,0.68523,1.01779,0.90603,0.85785,0.93367,0.66925,1.05602,0.67968,1.03574,0.0013664,0.0013664,0.0013664
18,979.505,1.0186,0.66539,1.00961,0.90928,0.85852,0.9344,0.67015,1.03065,0.65556,1.02641,0.0013268,0.0013268,0.0013268
19,1026.53,1.00917,0.66279,1.01213,0.90627,0.85444,0.92975,0.65837,1.04728,0.67482,1.02795,0.0012872,0.0012872,0.0012872
20,1104.57,0.99024,0.65185,1.00691,0.92065,0.85227,0.9368,0.68751,0.99186,0.62523,1.02548,0.0012476,0.0012476,0.0012476
21,1187.02,1.00408,0.66368,1.01082,0.90469,0.85847,0.93229,0.68589,0.99652,0.65266,1.01797,0.001208,0.001208,0.001208
22,1246.64,0.97759,0.6444,0.99103,0.90824,0.86623,0.93934,0.68785,0.99289,0.6387,1.01932,0.0011684,0.0011684,0.0011684
23,1329.72,0.95796,0.62616,0.97959,0.89938,0.88774,0.94408,0.69931,0.98218,0.62362,1.01498,0.0011288,0.0011288,0.0011288
24,1392.63,0.9535,0.62599,0.98727,0.92386,0.86561,0.94706,0.70124,0.98996,0.62315,1.02147,0.0010892,0.0010892,0.0010892
25,1442.2,0.94372,0.60901,0.98141,0.90055,0.87896,0.94241,0.69736,0.98309,0.60796,1.01494,0.0010496,0.0010496,0.0010496
26,1487.95,0.93336,0.60289,0.97889,0.9245,0.87412,0.94438,0.71028,0.95475,0.61168,0.99808,0.00101,0.00101,0.00101
27,1588.04,0.94668,0.60838,0.98044,0.91278,0.87373,0.94293,0.70264,0.96821,0.62045,1.00711,0.0009704,0.0009704,0.0009704
28,1659.72,0.91855,0.59587,0.97042,0.91679,0.87536,0.94506,0.71176,0.95429,0.60488,1.00425,0.0009308,0.0009308,0.0009308
29,1727.46,0.91142,0.59072,0.9737,0.92259,0.88268,0.94865,0.70351,0.97292,0.60172,1.00597,0.0008912,0.0008912,0.0008912
30,1803.8,0.90459,0.57915,0.96762,0.92889,0.86468,0.94007,0.70396,0.9743,0.60459,1.00481,0.0008516,0.0008516,0.0008516
31,1869.25,0.90277,0.58373,0.97123,0.91597,0.88051,0.9482,0.71606,0.9466,0.57995,1.00805,0.000812,0.000812,0.000812
32,1914.47,0.88409,0.56522,0.95535,0.93031,0.87461,0.94687,0.71531,0.94882,0.58374,0.99916,0.0007724,0.0007724,0.0007724
33,1964.51,0.88637,0.5706,0.95782,0.90925,0.8861,0.94593,0.71195,0.95508,0.58826,1.00758,0.0007328,0.0007328,0.0007328
34,2017.27,0.8781,0.56546,0.958,0.90915,0.88237,0.9461,0.71388,0.95118,0.57864,1.00042,0.0006932,0.0006932,0.0006932
35,2065.11,0.86653,0.55327,0.95061,0.92952,0.87185,0.94572,0.7167,0.93272,0.56762,0.99268,0.0006536,0.0006536,0.0006536
36,2113.27,0.86676,0.55082,0.95187,0.92062,0.88546,0.95175,0.72892,0.92157,0.55895,0.98803,0.000614,0.000614,0.000614
37,2155.96,0.86224,0.54365,0.94913,0.91792,0.88858,0.94946,0.72245,0.93036,0.56727,0.98693,0.0005744,0.0005744,0.0005744
38,2236.08,0.83425,0.53707,0.94302,0.91885,0.89267,0.94817,0.72902,0.90626,0.55827,0.98361,0.0005348,0.0005348,0.0005348
39,2290.95,0.82944,0.52916,0.94021,0.92012,0.89448,0.95147,0.73132,0.90629,0.55852,0.98599,0.0004952,0.0004952,0.0004952
40,2343.09,0.82182,0.52237,0.94257,0.91221,0.89541,0.95193,0.737,0.89144,0.54226,0.98102,0.0004556,0.0004556,0.0004556
41,2386.44,0.77132,0.50188,0.91899,0.91858,0.88765,0.94961,0.72666,0.92287,0.55677,0.99091,0.000416,0.000416,0.000416
42,2434.78,0.77063,0.48969,0.91249,0.91399,0.89048,0.95295,0.73467,0.90165,0.55819,0.98127,0.0003764,0.0003764,0.0003764
